Transaction Date,Supplier Title,Supplier Category,Project Title,Currency Title,Type Title,Godown Title,Category Title,Class Title,Brand Title,Item Title,Unit Title,Item Description,Quantity,Rate,Gross Amount,SalesTax Amount,Net Amount
6/10/2020,ANAS TRADERS JODIA,RAW MATERIAL,None,PAK Rupee,powderGinger,Factory Warehouse,vegetable powder,seasoning,raw material,ginger powder (Sounth),kg,ginger powder 15 kg,25.0,650.0,16250.0,0.0,16250.0
6/10/2020,CENTER OF CHEMICAL,RAW MATERIAL,None,PAK Rupee,calciumCarbonate,Factory Warehouse,foodChem,mingalz,raw material,calcium carbonate,kg,calsium by carbonate 05 bags,125.0,40.0,5000.0,0.0,5000.0
6/10/2020,CENTER OF CHEMICAL,RAW MATERIAL,None,PAK Rupee,sodiumBiCarbonate,Factory Warehouse,foodChem,cracker,raw material,Sodium bi Carbonate,kg,sodium by carbonate 05 bags,125.0,66.0,8250.0,0.0,8250.0
6/10/2020,CENTER OF CHEMICAL,RAW MATERIAL,None,PAK Rupee,calcium chloride,Factory Warehouse,foodChem,cakegel,raw material,CACL calcium chloride,kg,calcium chloride 05 kg,5.0,60.0,300.0,0.0,300.0
6/10/2020,shafiq iqbal jodia egypt starch,RAW MATERIAL,None,PAK Rupee,starchCorn,Factory Warehouse,flour,cracker,raw material,corn starch Egypt,kg,corn starch egypt 25kg 300 bags,7500.0,93.2,699000.0,0.0,699000.0
6/10/2020,F&A International,PACKING MATERIAL,None,PAK Rupee,soup & ckp,Factory Warehouse,cartons,soup & ckp,packing material,Funchies MC2 Carton (dimension 20.5/8 x 16.5/8 x 14.75 inch),pcs,funchies mc2 ctn 1580pcs,1580.0,99.5,157210.0,26725.7,183935.7
6/11/2020,Flavor M.A.J Flavor,RAW MATERIAL,None,PAK Rupee,DMG,Factory Warehouse,emulsifier,cakegel,raw material,DISTILLED MONOGLYCERIDE (DMG),kg,dmg 50 bags,1000.0,320.0,320000.0,0.0,320000.0
6/11/2020,Humayun Cargill ( javed sarvana ),RAW MATERIAL,None,PAK Rupee,cookingOil,Factory Warehouse,Fat,chocolate,raw material,Oclona Oil,kg,ocolona oil 18x22 = 396 kg,396.0,275.0,108900.0,0.0,108900.0
6/11/2020,ANAS TRADERS JODIA,RAW MATERIAL,None,PAK Rupee,powderGolGappayMasala,Factory Warehouse,partiallyFinished,golgappay,raw material,powderGolGappayMasala,kg,pani puri masala 20kg,20.0,290.0,5800.0,0.0,5800.0
6/12/2020,Khizer Printers,PACKING MATERIAL,None,PAK Rupee,soup & ckp,Factory Warehouse,displayBox,soup & ckp,packing material,Display Box Chicken powder 100gm (150x165x130mm),pcs,cp 100gm display box 5000,5000.0,17.75,88750.0,0.0,88750.0
6/12/2020,Habib ADM Limited,RAW MATERIAL,None,PAK Rupee,sorbitol,Factory Warehouse,glucose & sugar,cakegel,raw material,Sorbitol,kg,sorbitol 6drum 1650kg,1650.0,140.4,231660.0,0.0,231660.0
6/15/2020,Habib ADM Limited,RAW MATERIAL,None,PAK Rupee,sorbitol,HO Ware House,glucose & sugar,cakegel,raw material,Sorbitol,kg,sorbitol 8 drum 1650kg,2200.0,142.74,314028.0,0.0,314028.0
6/15/2020,shafiq iqbal jodia egypt starch,RAW MATERIAL,None,PAK Rupee,starchCorn,Factory Warehouse,flour,cracker,raw material,corn starch Egypt,kg,corn starch egypt 300 bags,7500.0,93.2,699000.0,0.0,699000.0
6/16/2020,Vendor cash partys,SERVICES,None,PAK Rupee,soup & ckp,Factory Warehouse,bag,soup & ckp,packing material,chicken powder 25kg bag pp bardana,pcs,bar dana 2000 pcs,2000.0,30.0,60000.0,0.0,60000.0
6/16/2020,Atif Riaz (Rafhan Corn Starch),RAW MATERIAL,None,PAK Rupee,starchCorn,Factory Warehouse,flour,cracker,raw material,corn starch rafhan 034010,kg,rafhan starch 50 bags@ ,2500.0,93.02,232537.5,0.0,232537.5
6/16/2020,ANAS TRADERS JODIA,RAW MATERIAL,None,PAK Rupee,cookingOil,Factory Warehouse,Fat,crackers,raw material,COOKING OIL ,kg,dastak palm olien 2can,32.0,190.63,6100.0,0.0,6100.0
